Keyword;Intent;Volume;Keyword Difficulty;CPC (MXN);SERP Features
sofom mexico;Informational;110;33;15.20;Sitelinks, Image pack, Video, People also ask, Related searches
sofomes no reguladas;Informational;110;12;8.24;AI Overview, Image pack, Video, Related searches
agrofinanciera sa de cv sofom enr;Informational;90;10;0.00;Sitelinks, Image, Image pack, People also ask, Knowledge panel, Related searches
agropecuaria financiera sa de cv sofom enr;Navigational;90;19;0.00;Image pack, Knowledge panel, Related searches
alternativa financiera procesa sa de cv sofom enr;Informational;90;10;0.00;Image pack
business park sofom;Informational;90;21;0.00;Video, People also ask, Knowledge panel, Related searches
cabott capital sapi de cv sofom enr;Informational;90;22;0.00;Image pack, Video, People also ask, Knowledge panel
cashahora sa de cv sofom enr;;90;;7.33;
cege capital sapi de cv sofom enr;Informational;90;8;7.14;AI Overview, Image pack, Related searches
contabilidad de una sofom;Informational, Commercial;90;13;0.00;Image pack, Video, People also ask, Related searches
credito especializado al campo sa de cv sofom enr;Navigational;90;20;0.00;Sitelinks, Image pack, Video, People also ask, Knowledge panel, Related searches
credito familiar sa de cv sofom er;Commercial;90;21;8.06;AI Overview, Image pack, Video, People also ask, Local pack, Related searches
credito y logistica de capital sa de cv sofom enr;Navigational;90;18;0.00;Sitelinks, Image pack, Video, Related searches
directodo méxico sapi de cv sofom enr;Navigational;90;18;0.00;Sitelinks, Image pack, People also ask, Related searches
e factor diez sapi de cv sofom enr;Navigational;90;18;0.00;Sitelinks, Image pack, Related searches
easy individual solutions sa de cv sofom enr;Informational, Commercial;90;16;0.00;People also ask, Related searches
fina sofom;;90;;8.79;
financiera labor sapi de sofom enr ciudad de méxico cdmx;Informational;90;8;0.00;Sitelinks, Image pack, People also ask, Local pack, Related searches
findeca sa de cv sofom enr;Navigational;90;25;0.00;Sitelinks, Video, People also ask, Knowledge panel
finlag sa de cv sofom enr;Navigational;90;24;0.00;Sitelinks, Image pack, People also ask, Related searches
fundamento legal de una sofom;Informational;90;31;0.00;Image pack, Video, People also ask, Related searches
gb plus sa de cv sofom;Informational;90;17;0.00;AI Overview, Image pack, People also ask, Related searches
globalcard sa de cv sofom er;Informational, Commercial;90;14;0.00;AI Overview, Image pack, People also ask
impulsora mtp sapi de cv sofom enr;Informational;90;18;0.00;Sitelinks, Image pack, People also ask, Related searches
lista de sofomes reguladas en méxico;Informational;90;19;0.00;AI Overview, Image pack, Video, Related searches
mercader financial sa de cv sofom enr;Navigational;90;21;0.00;Sitelinks, Image pack, People also ask, Knowledge panel, Related searches
metrofinanciera sapi de cv sofom er;Navigational;90;20;0.00;Sitelinks, Image pack, People also ask, Local pack, Related searches
monto facil sapi de cv sofom enr;Navigational;90;13;7.69;Sitelinks, Image pack, Related searches
navix de mexico sa de cv sofom enr;Navigational;90;23;0.00;Sitelinks, Image pack, People also ask, Knowledge panel
obligaciones sofom enr condusef;Informational, Transactional;90;24;0.00;Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches
opcipres sa de cv sofom er;Navigational;90;20;0.00;Sitelinks, Image pack, Video, People also ask, Related searches
paccar financial mexico sa de cv sofom enr;Informational;90;17;0.00;AI Overview, Image, Image pack, Local pack, Related searches
portafolio de negocios sofom;Informational;90;24;0.00;Image pack, Video, Knowledge panel, Related searches
presta simple sofom;Informational, Transactional;90;13;0.00;Sitelinks, Image pack, People also ask, Knowledge panel
sefia sofom;Navigational, Commercial;90;27;0.00;Sitelinks, Image pack, People also ask, Local pack, Related searches
sensa sofom;Commercial;90;33;0.00;Image pack, Video, Local pack
sfi sofom;;90;;0.00;
sofipo y sofom;;90;;0.00;
sofom autorizada por fovissste;Informational;90;29;0.00;AI Overview, Image pack, Video, Related searches
sofom fovissste tuxtla gutierrez;Commercial;90;32;0.00;AI Overview, Image, Image pack, Video, People also ask, Local pack, Related searches
sofom inbursa com;Navigational;90;21;0.00;Sitelinks, Image pack, Related searches
sofom inbursa tarjeta de crédito;Informational, Transactional;90;26;0.00;Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches
sofomes en mexico 2019;Informational;90;17;0.00;AI Overview, Image pack, Video, People also ask, Related searches
sofomes reguladas;Informational;90;24;9.52;AI Overview, Image pack, Video, People also ask, Related searches
sofoms;;90;;7.69;
sofoplus sapi de cv sofom er;Navigational;90;20;0.00;Sitelinks, Image pack, People also ask, Knowledge panel, Related searches
software para sofom;;90;;52.39;
soluciones y oportunidades financieras sa de cv sofom enr;Informational;90;13;6.04;Image pack, People also ask, Knowledge panel, Related searches
supply credit de mexico sapi de cv sofom enr;Informational;90;18;0.00;Image pack, People also ask, Knowledge panel, Related searches
sé dueño sa de cv sofom enr;;90;;0.00;
toka investment sofom enr;Informational;90;32;0.00;Sitelinks, Image pack, Related searches
tratamiento contable de las sofomes;Informational, Commercial;90;17;0.00;AI Overview, Image pack, Video, People also ask, Related searches
universal de servicios patrimoniales sapi de cv sofom enr;;90;;0.00;
accede sofom;Informational;70;14;0.00;Sitelinks, Image pack, Video, Related searches
acervo economico sa de cv sofom enr;Informational;70;13;0.00;Image pack, Video, People also ask
acta constitutiva sofom;Informational, Commercial;70;13;0.00;Image pack, Video, Related searches
admiral capital sa de cv sofom enr;Informational;70;12;0.00;AI Overview, Image pack, Related searches
agro sofom sapi de cv sofom enr;Navigational;70;19;0.00;Sitelinks, Image pack, Knowledge panel, Related searches
agropecuaria financiera sa de cv sofom;Informational, Transactional;70;18;0.00;Sitelinks, Image pack, Local pack
alianza familiar sa de cv sofom enr;Navigational;70;37;0.00;Sitelinks, Image pack, Video, Knowledge panel, Related searches
alianza familiar sofom;;70;;0.00;
alphacredit sofom;Informational, Transactional;70;27;10.26;Sitelinks, Image pack, People also ask, Related searches
arrendadora y financiera nacional sa de cv sofom enr;Informational;70;15;0.00;AI Overview, Related searches
asp consultores & representación sa de cv sofom enr;Navigational;70;15;0.00;Sitelinks, Image pack, Video, People also ask, Related searches
avance y fortalecimiento integral sa de cv sofom enr;Commercial;70;7;0.00;Image pack, Local pack
bicentenario efectivo sa de cv sofom enr;Informational, Commercial;70;15;0.00;AI Overview, Image pack, Video, People also ask
bien para bien sa de cv sofom;Navigational;70;31;0.00;Sitelinks, Image pack, People also ask, Knowledge panel, Related searches
brada sofom;Commercial;70;39;0.00;Sitelinks, Image pack, Video, Local pack, Related searches
capital plus sa de cv sofom enr;Informational, Commercial;70;13;0.00;Sitelinks, AI Overview, Image, Image pack, Related searches
catalogo de cuentas de una sofom;Informational, Commercial;70;13;0.00;AI Overview, Image pack, Video, Related searches
cf credit services sa de cv sofom rfc;Informational;70;17;0.00;Image pack, People also ask, Knowledge panel
compromiso que suma valor sa de cv sofom enr;Informational, Navigational;70;25;0.00;Sitelinks, Image pack, People also ask, Knowledge panel
consumer & business loan sofom;Informational;70;23;0.00;Image pack, Video, People also ask
credito familiar sofom;Commercial;70;19;0.00;Image pack, Video, People also ask, Local pack, Related searches
cuantas sofomes hay en mexico;Informational;70;27;0.00;AI Overview, Image pack, Video, People also ask, Related searches
dae hipotecaria sa de cv sofom enr;Navigational;70;37;0.00;Sitelinks, Image pack, Video, People also ask, Knowledge panel, Related searches
diferencia entre sofom y sofipo;;70;;0.00;
dimex capital sa de cv sofom enr;;70;;11.17;
dinerito audaz sapi de cv sofom enr;Commercial;70;19;8.24;Sitelinks, Image pack, Local pack, Related searches
disi operaciones empresariales sapi de cv sofom enr;Navigational;70;37;0.00;Sitelinks, Image pack, Video, Knowledge panel, Related searches, Ads bottom, Ads middle
disposiciones pld sofom;Informational;70;15;0.00;AI Overview, Image pack, Video, Related searches
distribuidores sofom;Navigational;70;27;0.00;Sitelinks, Image pack, Related searches
factoring corporativo sa de cv sofom enr;Informational, Transactional;70;22;0.00;Sitelinks, Image pack, People also ask, Knowledge panel, Related searches
faprei sapi de cv sofom enr;;70;;6.59;
fc financial sa de cv sofom er grupo financiero inbursa;Navigational, Transactional;70;22;0.00;People also ask, Related searches
fina sofom puebla;Informational;70;31;0.00;Image pack, Video, People also ask, Knowledge panel, Related searches
financiamiento progresemos sa de cv sofom enr;Informational;70;18;0.00;Image pack, People also ask, Knowledge panel, Related searches
financiera mexico multiple sa de cv sofom enr;Informational, Transactional;70;20;0.00;Knowledge panel, Related searches
financiera sofom sa de cv;Commercial;70;31;6.04;AI Overview, Image, Video, People also ask, Local pack, Related searches
finvivir sofom;Navigational, Commercial;70;41;0.00;Sitelinks, Image pack, Video, People also ask, Local pack, Related searches
fisofo sa de cv sofom;;70;;7.69;
ford credit de mexico sa de cv sofom enr;Informational;70;18;0.00;Sitelinks, Image pack, Video, Related searches
fortaleza economica sa de cv sofom enr;Informational;70;12;0.00;Image pack, Video, Knowledge panel, Related searches
gm financial de mexico sa de cv sofom;Informational, Transactional;70;30;0.00;Sitelinks, Image pack, Video, People also ask, Knowledge panel, Related searches
integra arrenda sofom;Navigational;70;20;0.00;Sitelinks, Image pack, Video, Related searches
john deere financial mexico sa de cv sofom enr;Navigational;70;19;0.00;Sitelinks, Image pack, Knowledge panel, Related searches
jova capital sapi de cv sofom enr;;70;;0.00;
la sofom;Informational;70;32;2.56;AI Overview, Image pack, Video, Knowledge panel, Related searches
mega sofom;Informational, Transactional;70;22;0.00;Sitelinks, Image pack, Video, People also ask, Knowledge panel, Related searches
metafinanciera mexico sa de cv sofom enr;Navigational;70;29;0.00;Sitelinks, Image pack, People also ask, Knowledge panel, Related searches
mfm sofom;Informational, Commercial;70;19;0.00;Sitelinks, Image pack, People also ask, Related searches
moneyveo mexico sa de cv sofom enr;Informational;70;18;0.00;AI Overview, Image pack, Video, People also ask, Related searches
qué es una sofom y para qué sirve;;70;;2.20;
refacil sofom;Navigational;70;26;6.41;Sitelinks, Image pack, People also ask, Knowledge panel, Related searches
requisitos para constituir una sofom no regulada;;70;;7.88;
sofomes en jalisco;Commercial;70;30;11.54;Image pack, Video, People also ask, Local pack, Related searches
fimubac sa de cv sofom enr;;50;;9.16;
grupo financiero sofom;;50;;9.71;
hinv sa de cv sofom enr;;50;;9.52;
que es una sofom y para que sirve;;50;;2.20;
sofom en méxico;;50;;8.43;
capital minimo para constituir una sofom;;40;;0.00;
como saber si una sofom es legal;;40;;0.00;
consupago sa de cv sofom;;40;;0.00;
fomento multiempresarial sa de cv sofom enr;;40;;0.00;
gm financial de mexico sa de cv sofom er;;40;;22.35;
li financiera sa de cv sofom enr;;40;;0.00;
sofom prestamos personales;;40;;21.80;
sofom regulada y no regulada;;40;;0.00;
su servicio financiero sa de cv sofom enr;;40;;0.00;
a crecer eum sa de cv sofom enr;;30;;0.00;
agro sofom;;30;;0.00;
alfin sofom;;30;;0.00;
alra del sur sofom;;30;;6.04;
apjusto sapi de cv sofom enr;;30;;0.00;
apoyo economico familiar sa de cv sofom enr;;30;;5.86;
argefin sapi de cv sofom enr;;30;;0.00;
arrendadora y factor banorte sa de cv sofom er;;30;;0.00;
asesoria financiera de mexico sa de cv sofom enr;;30;;0.00;
attendo sapi de cv sofom enr;;30;;0.00;
avanza solido sa de cv sofom enr;;30;;0.00;
bancash mexico sa de cv sofom enr;;30;;0.00;
banregio sofom;;30;;0.00;
capital el molino sa de cv sofom enr;;30;;0.00;
caterpillar credito sa de cv sofom enr;;30;;0.00;
cnbv sofom;;30;;0.00;
como cambiar de sofom fovissste;;30;;0.00;
como funciona una sofom;;30;;3.85;
como opera una sofom;;30;;0.00;
conserva sofom;;30;;0.00;
consultores de servicios varios sa de cv sofom enr;;30;;0.00;
contabilidad sofom;;30;;0.00;
corporacion financiera atlas sa de cv sofom enr;;30;;0.00;
corporacion nomi fin sa de cv sofom enr;;30;;0.00;
corporativo laudex sapi de cv sofom enr;;30;;0.00;
credijal sa de cv sofom enr;;30;;0.00;
desarrolladora e impulsora de negocios sapi de cv sofom enr;;30;;0.00;
diferencia entre sofoles sofomes y sofipos;;30;;0.00;
digal elite sapi de cv sofom enr;;30;;0.00;
digital elite sapi de cv sofom enr;;30;;0.00;
dinero facil y rapido sa de cv sofom enr;;30;;12.09;
dispersora menonita sa de cv sofom enr;;30;;0.00;
dispersora menonita sofom;;30;;0.00;
don apoyo sapi de cv sofom enr;;30;;0.00;
ejemplos de sofomes en mexico;;30;;0.00;
factor exprés sapi de cv sofom enr;;30;;0.00;
fcapital mexico sapi de cv sofom enr;;30;;9.71;
financiera finsol sa de cv sofom enr;;30;;0.00;
financiera por el impulso económico sa de cv sofom enr;;30;;7.14;
finpo sofom;;30;;0.00;
fisofo sofom;;30;;0.00;
fomepade sapi de cv sofom enr;;30;;6.96;
fomepade sofom enr;;30;;0.00;
fondeo para sofomes;;30;;21.25;
ford credit de mexico sa de cv sofom er;;30;;0.00;
fovissste sofom autorizadas;;30;;0.00;
gb plus sa de cv sofom enr;;30;;12.64;
grupo consultor para la microempresa sa de cv sofom enr;;30;;0.00;
hipotecaria su casita sa de cv sofom enr;;30;;0.00;
hir pyme sa de cv sofom enr;;30;;0.00;
idf capital sapi de cv sofom enr;;30;;0.00;
integra arrenda sa de cv sofom enr;;30;;0.00;
integra sofom;;30;;0.00;
ion financiera sapi de cv sofom er;;30;;0.00;
konfio sofom;;30;;13.74;
lista de sofomes;;30;;0.00;
magil sa de cv sofom enr;;30;;0.00;
manual pld sofom;;30;;0.00;
mejor sofom fovissste;;30;;0.00;
mex factor sa de cv sofom enr;;30;;0.00;
navistar financial sa de cv sofom er;;30;;0.00;
negocios y proyectos sapi de cv sofom enr;;30;;0.00;
pacada sofom enr;;30;;0.00;
patrimonio sa de cv sofom enr;;30;;0.00;
pidamas sapi de cv sofom enr;;30;;0.00;
previcrem sa de cv sofom enr;;30;;0.00;
publiseg sapi de cv sofom;;30;;0.00;
que es una sofom no regulada;;30;;0.00;
que es una sofom y sofol;;30;;0.00;
que son las sofoles y sofomes;;30;;0.00;
que son los sofoles y sofomes;;30;;0.00;
ranking de sofomes en mexico;;30;;0.00;
red amigo dal sapi de cv sofom enr rfc;;30;;0.00;
red de servicios financieros sa de cv sofom enr;;30;;0.00;
requerimiento patrimonial sofom;;30;;0.00;
requisitos para sofom;;30;;6.96;
rfc gm financial de mexico sa de cv sofom er;;30;;0.00;
sa de cv sofom er;;30;;0.00;
sabcapital sa de cv sofom er;;30;;0.00;
sapi sofom;;30;;12.27;
significado de sofom enr;;30;;0.00;
sociedad sofom;;30;;0.00;
sofipa corporation sapi de cv sofom enr;;30;;0.00;
sofom aba capital;;30;;0.00;
sofom acapulco;;30;;4.76;
sofom anec;;30;;0.00;
sofom cancun;;30;;13.74;
sofom cloud;;30;;29.67;
sofom en torreon;;30;;0.00;
sofom facicasa;;30;;0.00;
sofom fovissste cdmx;;30;;4.76;
sofom merida;;30;;8.61;
sofom pachuca;;30;;0.00;
sofom para credito fovissste;;30;;0.00;
sofom para fovissste;;30;;0.00;
sofom registradas en condusef;;30;;30.22;
sofom sofipo;;30;;0.00;
sofom suma express;;30;;0.00;
sofom xalapa;;30;;0.00;
sofomes en mexico ejemplos;;30;;0.00;
sofomes en veracruz;;30;;8.06;
sofomes reguladas y no reguladas;;30;;0.00;
sofoplus sapi de cv sofom enr;;30;;0.00;
soluciones financieras sofom;;30;;15.57;
somim sapi de cv sofom enr;;30;;0.00;
toka investment sapi de cv sofom enr;;30;;0.00;
unifin financiera sab de cv sofom enr;;30;;0.00;
usacredit sa de cv sofom enr;;30;;0.00;
value arrendadora sa de cv sofom er value grupo financiero;;30;;0.00;
vision fund méxico sa de cv sofom enr;;30;;0.00;
4finance sa de cv sofom enr;;20;;0.00;
aba capital sofom;;20;;0.00;
abc capital sofom;;20;;0.00;
ac fin sapi de cv sofom enr;;20;;0.00;
accedde sofom;;20;;0.00;
accede sa de cv sofom enr;;20;;0.00;
acsein sa de cv sofom enr;;20;;7.14;
acta constitutiva de una sofom;;20;;0.00;
administradora avanza sa de cv sofom enr;;20;;0.00;
administradora de soluciones sa de cv sofom enr;;20;;0.00;
advantech servicios financieros sapi de cv sofom enr;;20;;0.00;
af banregio sa de cv sofom er banregio grupo financiero;;20;;0.00;
afin gana sa de cv sofom enr;;20;;0.00;
afipyme sa de cv sofom enr;;20;;0.00;
afix servicios financieros sapi de cv sofom enr;;20;;0.00;
agrocap del norte sa de cv sofom enr;;20;;0.00;
agrocapital del noroeste sa de cv sofom enr;;20;;0.00;
agrofinanciera internacional sa de cv sofom enr;;20;;0.00;
agronegocios laad sa de cv sofom enr;;20;;0.00;
alivio capital sapi de cv sofom enr;;20;;0.00;
ally credit sa de cv sofom enr;;20;;0.00;
alsol contigo sa de cv sofom enr;;20;;0.00;
alternativa 19 del sur sa de cv sofom enr;;20;;0.00;
altitud sofom;;20;;0.00;
ap justo sapi de cv sofom enr;;20;;0.00;
apoyo a tu economia sa de cv sofom enr;;20;;0.00;
apoyo economico familiar sofom;;20;;0.00;
apoyo promotora sa de cv sofom enr;;20;;0.00;
arco servicios financieros sa de cv sofom enr;;20;;0.00;
arrendadora afirme sa de cv sofom er afirme grupo financiero;;20;;0.00;
arrendadora y soluciones de negocios sapi de cv sofom enr;;20;;0.00;
arrendamientos operativos impulsa sa de cv sofom enr;;20;;0.00;
asf servicios financieros sapi de cv sofom enr;;20;;0.00;
asociacion de sofomes;;20;;0.00;
asociacion mexicana de sofomes;;20;;0.00;
attendo sofom;;20;;0.00;
auquiti sa de cv sofom enr;;20;;0.00;
aviso de privacidad sofom;;20;;0.00;
banamex sofom;;20;;0.00;
banco sofom;;20;;0.00;
banorte ixe tarjetas sa de cv sofom er;;20;;0.00;
baracaf sa de cv sofom enr;;20;;0.00;
bc credit sapi de cv sofom enr;;20;;0.00;
beneficios fiscales de una sofom;;20;;0.00;
bnp paribas personal finance sa de cv sofom er;;20;;0.00;
bot finance mexico sa de cv sofom enr;;20;;0.00;
capital empresarial sofom;;20;;0.00;
capital para abrir una sofom;;20;;6.59;
capital sapi de cv sofom enr;;20;;4.95;
cargill servicios financieros sa de cv sofom enr;;20;;0.00;
casa mexicana sofom;;20;;0.00;
cashfin financial services sapi de cv sofom enr;;20;;0.00;
caterpillar credito sa de cv sofom;;20;;0.00;
cetelem sa de cv sofom;;20;;0.00;
cetelem sa de cv sofom er rfc;;20;;0.00;
cetelem sofom;;20;;17.03;
cinco dos sa de cv sofom enr;;20;;0.00;
cnbv sofom enr;;20;;0.00;
cofine sapi de cv sofom enr;;20;;0.00;
cofine sofom;;20;;0.00;
comercios afiliados sofom;;20;;0.00;
como abrir una sofom;;20;;7.51;
como constituir una sofom;;20;;8.43;
como constituir una sofom enr;;20;;7.69;
como crear una sofom;;20;;6.59;
como crear una sofom en mexico;;20;;10.26;
como hacer una sofom;;20;;7.88;
como se fondea una sofom;;20;;6.96;
comprar una sofom;;20;;0.00;
concede sofom;;20;;0.00;
concepto de sofom;;20;;0.00;
condusef lista de sofomes;;20;;0.00;
condusef registro sofom;;20;;0.00;
condusef sofom enr;;20;;0.00;
condusef sofom registro;;20;;0.00;
condusef sofomes no reguladas;;20;;0.00;
condusef sofomes reguladas;;20;;0.00;
consede consultores y servicios sa de cv sofom enr;;20;;0.00;
consol negocios sa de cv sofom enr;;20;;0.00;
constitucion de una sofom;;20;;0.00;
constitucion sofom;;20;;0.00;
constituir una sofom;;20;;14.10;
consupago sa de cv sofom er;;20;;0.00;
convengamos todos sa de cv sofom enr;;20;;0.00;
crear una sofom;;20;;19.05;
crece sofom es confiable;;20;;0.00;
credicam sofom;;20;;0.00;
credifacil sofom;;20;;0.00;
credito facil sofom;;20;;33.34;
credito inmobiliario sofom;;20;;0.00;
credito para ti sa de cv sofom enr;;20;;0.00;
credito real sab de cv sofom enr;;20;;13.92;
credito real sab de cv sofom er;;20;;0.00;
credito sofom;;20;;10.62;
cree en ti capital sapi de cv sofom enr;;20;;0.00;
cresca sofom;;20;;0.00;
crédito real sab de cv sofom er;;20;;0.00;
cual es la mejor sofom para credito fovissste;;20;;0.00;
cuanto cuesta una sofom;;20;;5.13;
cursos sofom;;20;;12.27;
daimler financial services sa de cv sofom enr;;20;;0.00;
define sofom;;20;;0.00;
definicion de sofom;;20;;0.00;
dictamen tecnico sofom;;20;;0.00;
diferencia entre sapi y sofom;;20;;0.00;
diferencia entre sofol y sofom;;20;;0.00;
diferencia entre sofom regulada y no regulada;;20;;0.00;
diferencia entre sofom y banco;;20;;0.00;
diferencia entre sofom y sofol;;20;;0.00;
diferencia sofom regulada y no regulada;;20;;0.00;
dimex capital sa de cv sofom;;20;;11.17;
directodo mexico sapi de cv sofom;;20;;0.00;
directorio de sofoles y sofomes en mexico;;20;;0.00;
directorio de sofomes;;20;;0.00;
directorio sofomes;;20;;0.00;
disposiciones de caracter general sofom;;20;;0.00;
disposiciones pld sofomes;;20;;0.00;
disposiciones sofom;;20;;0.00;
distribuidores sofom inbursa;;20;;0.00;
don apoyo sofom;;20;;0.00;
efim sapi de cv sofom enr;;20;;0.00;
efim sofom;;20;;0.00;
emprendamos fin sa de cv sofom enr;;20;;0.00;
emprendedores tu comunidad sa de cv sofom enr;;20;;0.00;
empresas sofom en mexico;;20;;10.99;
engencap fin sa de cv sofom enr;;20;;0.00;
entidad financiera sofom;;20;;0.00;
entidades financieras sofomes;;20;;0.00;
equipate sofom;;20;;0.00;
equity link sapi de cv sofom enr;;20;;2.75;
escala capital sapi de cv sofom enr;;20;;0.00;
estados financieros sofom enr;;20;;0.00;
exitus capital sapi de cv sofom enr;;20;;0.00;
exitus credit sapi de cv sofom enr rfc;;20;;0.00;
exitus credrit sapi sofom;;20;;0.00;
exitus nomina sapi de cv sofom enr;;20;;7.69;
facicasa sa de cv sofom enr;;20;;0.00;
factor expres sapi de cv sofom enr;;20;;0.00;
factor gfc global sa de cv sofom enr;;20;;0.00;
factor global sofom;;20;;14.10;
factor global sofom chihuahua;;20;;0.00;
factor optimo sa de cv sofom enr;;20;;0.00;
factor para ti sapi de cv sofom enr;;20;;0.00;
factoring corporativo sa de cv sofom er;;20;;0.00;
fimubac sa de cv sofom;;20;;0.00;
fimubac sofom;;20;;0.00;
fin util sa de cv sofom enr;;20;;24.18;
finactiv sa de cv sofom enr;;20;;7.88;
finactiv sa de cv sofom er;;20;;0.00;
finadix sa de cv sofom enr;;20;;0.00;
finae sapi de cv sofom enr;;20;;0.00;
finae sapi de cv sofom er;;20;;0.00;
finagil sa de cv sofom enr;;20;;0.00;
financiera bajio sa de cv sofom;;20;;0.00;
financiera bajio sa de cv sofom enr;;20;;0.00;
financiera bajio sa de cv sofom er rfc;;20;;0.00;
financiera bajio sofom;;20;;0.00;
financiera bepensa sa de cv sofom enr;;20;;0.00;
financiera bepensa sa de cv sofom er;;20;;0.00;
financiera bepensa sofom enr;;20;;0.00;
financiera braxel sa de cv sofom;;20;;0.00;
